Process,Value
System 3,424
System 3,456
System 3,372
System 3,367
System 3,452
System 3,351
System 3,342
System 3,319
System 3,372
System 3,384
System 3,476
System 3,468
System 3,435
System 3,52
System 3,340
System 3,417
System 3,422
System 3,374
System 3,358
System 3,353
System 3,370
System 3,360
System 3,399
System 3,500
System 3,454
System 3,450
System 3,462
System 3,427
System 3,406
System 3,448
System 3,458
System 3,447
System 3,386
System 3,442
Frac Collector,405
Frac Collector,449
Frac Collector,381
Frac Collector,370
Frac Collector,393
Frac Collector,321
Frac Collector,322
Frac Collector,330
Frac Collector,383
Frac Collector,376
Frac Collector,473
Frac Collector,467
Frac Collector,416
Frac Collector,55
Frac Collector,348
Frac Collector,368
Frac Collector,425
Frac Collector,356
Frac Collector,357
Frac Collector,344
Frac Collector,375
Frac Collector,392
Frac Collector,397
Frac Collector,485
Frac Collector,402
Frac Collector,399
Frac Collector,410
Frac Collector,406
Frac Collector,397
Frac Collector,402
Frac Collector,411
Frac Collector,410
Frac Collector,368
Frac Collector,409
